category,n_train,n_test,auroc_img,auroc_pixel,seconds
bottle,209,83,1.0,0.9837,59.6
cable,224,150,0.9085,0.9532,70.8
capsule,219,132,0.9517,0.9806,68.4
carpet,280,117,1.0,0.9882,84.4
grid,264,78,0.9967,0.9865,72.9
hazelnut,391,110,0.9989,0.9915,115.0
leather,245,124,1.0,0.9819,74.2
metal_nut,220,115,1.0,0.9699,64.5
pill,267,167,0.9468,0.9515,89.0
screw,320,160,0.8869,0.938,96.3
tile,230,117,1.0,0.9476,68.1
toothbrush,60,42,0.9889,0.9821,19.1
transistor,213,100,0.9183,0.955,66.4
wood,247,79,0.9763,0.9087,74.9
zipper,240,151,0.9995,0.9665,68.8
